48,Miasto 48,,69,,12-283,Ulica 46
49,,Miejscowosc 49,32,33,40-928,Ulica 95
50,Miasto 50,,48,,39-334,Ulica 72
51,,Miejscowosc 51,57,34,75-741,Ulica 41
52,Miasto 52,,39,,43-956,Ulica 49
53,,Miejscowosc 53,43,69,77-673,Ulica 45
54,Miasto 54,,48,,79-599,Ulica 79
55,,Miejscowosc 55,7,11,30-123,Ulica 66
56,Miasto 56,,65,,95-638,Ulica 99
57,,Miejscowosc 57,70,12,64-102,Ulica 57
58,Miasto 58,,77,,50-971,Ulica 15
59,,Miejscowosc 59,39,82,32-724,Ulica 47
60,Miasto 60,,17,,09-439,Ulica 11
61,,Miejscowosc 61,66,24,81-489,Ulica 90
62,Miasto 62,,98,,22-702,Ulica 76
63,,Miejscowosc 63,56,19,09-114,Ulica 49
64,Miasto 64,,62,,11-084,Ulica 29
65,,Miejscowosc 65,33,89,87-030,Ulica 98
66,Miasto 66,,38,,89-401,Ulica 31
67,,Miejscowosc 67,30,46,55-927,Ulica 48
68,Miasto 68,,68,,45-843,Ulica 77
69,,Miejscowosc 69,95,65,59-782,Ulica 27
70,Miasto 70,,15,,40-298,Ulica 82
71,,Miejscowosc 71,66,97,58-797,Ulica 86
72,Miasto 72,,76,,75-065,Ulica 18
73,,Miejscowosc 73,97,22,94-218,Ulica 55
74,Miasto 74,,18,,56-954,Ulica 14
75,,Miejscowosc 75,36,31,60-798,Ulica 49
76,Miasto 76,,89,,07-126,Ulica 11
77,,Miejscowosc 77,29,42,17-796,Ulica 42
78,Miasto 78,,76,,59-819,Ulica 41
79,,Miejscowosc 79,86,62,46-461,Ulica 42
80,Miasto 80,,99,,74-752,Ulica 15
81,,Miejscowosc 81,100,92,10-579,Ulica 44
82,Miasto 82,,99,,12-316,Ulica 91
83,,Miejscowosc 83,49,92,34-703,Ulica 63
84,Miasto 84,,33,,35-280,Ulica 97
85,,Miejscowosc 85,53,20,97-344,Ulica 95
86,Miasto 86,,89,,26-129,Ulica 31
87,,Miejscowosc 87,46,82,16-533,Ulica 51
88,Miasto 88,,81,,52-628,Ulica 76
89,,Miejscowosc 89,32,32,58-451,Ulica 86
90,Miasto 90,,92,,62-845,Ulica 93
91,,Miejscowosc 91,35,7,72-843,Ulica 78
92,Miasto 92,,95,,13-192,Ulica 30
93,,Miejscowosc 93,33,88,52-606,Ulica 4
94,Miasto 94,,62,,33-401,Ulica 7
95,,Miejscowosc 95,73,92,23-780,Ulica 60
96,Miasto 96,,74,,82-925,Ulica 44
97,,Miejscowosc 97,8,15,93-085,Ulica 50
98,Miasto 98,,24,,22-201,Ulica 12
99,,Miejscowosc 99,85,4,63-423,Ulica 42
100,Miasto 100,,56,,87-649,Ulica 14
101,,Miejscowosc 101,85,70,51-667,Ulica 95
102,Miasto 102,,55,,04-548,Ulica 23
103,,Miejscowosc 103,6,85,19-765,Ulica 2
104,Miasto 104,,45,,98-245,Ulica 52
105,,Miejscowosc 105,11,29,81-831,Ulica 43
106,Miasto 106,,18,,13-879,Ulica 99
107,,Miejscowosc 107,97,74,95-171,Ulica 23
108,Miasto 108,,64,,07-442,Ulica 77
109,,Miejscowosc 109,86,11,17-406,Ulica 45
110,Miasto 110,,11,,12-429,Ulica 47
111,,Miejscowosc 111,43,20,51-870,Ulica 91
112,Miasto 112,,4,,97-076,Ulica 29
113,,Miejscowosc 113,50,64,82-247,Ulica 24
114,Miasto 114,,50,,85-707,Ulica 98
115,,Miejscowosc 115,20,56,86-951,Ulica 68
116,Miasto 116,,20,,22-478,Ulica 62
117,,Miejscowosc 117,18,21,80-368,Ulica 51
118,Miasto 118,,19,,52-873,Ulica 16
119,,Miejscowosc 119,2,9,45-630,Ulica 35
120,Miasto 120,,50,,26-132,Ulica 64
121,,Miejscowosc 121,31,98,52-338,Ulica 24
122,Miasto 122,,44,,21-897,Ulica 64
123,,Miejscowosc 123,43,75,17-398,Ulica 70
124,Miasto 124,,94,,53-239,Ulica 81
125,,Miejscowosc 125,39,86,49-651,Ulica 23
126,Miasto 126,,6,,58-329,Ulica 17
127,,Miejscowosc 127,34,95,25-690,Ulica 40
128,Miasto 128,,72,,82-657,Ulica 33
129,,Miejscowosc 129,54,56,71-988,Ulica 41
130,Miasto 130,,48,,91-701,Ulica 4
131,,Miejscowosc 131,27,57,29-275,Ulica 93
132,Miasto 132,,48,,89-497,Ulica 67
133,,Miejscowosc 133,83,69,12-616,
134,Miasto 134,,45,,29-381,Ulica 40
135,,Miejscowosc 135,85,83,86-934,Ulica 88
136,Miasto 136,,66,,46-829,Ulica 44
137,,Miejscowosc 137,72,11,40-791,Ulica 87
138,Miasto 138,,63,,76-779,Ulica 1
139,,Miejscowosc 139,49,60,90-489,Ulica 10
140,Miasto 140,,39,,72-328,Ulica 34
141,,Miejscowosc 141,56,51,84-103,Ulica 56
142,Miasto 142,,50,,17-306,Ulica 20
143,,Miejscowosc 143,68,74,89-669,Ulica 65
144,Miasto 144,,84,,26-934,Ulica 32
145,,Miejscowosc 145,20,20,19-288,Ulica 96
146,Miasto 146,,12,,80-006,Ulica 85
147,,Miejscowosc 147,88,95,52-877,Ulica 26
148,Miasto 148,,60,,54-659,Ulica 99
149,,Miejscowosc 149,14,83,77-104,Ulica 62
150,Miasto 150,,57,,08-778,Ulica 37
151,,Miejscowosc 151,32,61,03-446,Ulica 49
152,Miasto 152,,98,,04-756,Ulica 51
153,,Miejscowosc 153,25,8,15-303,Ulica 97
154,Miasto 154,,16,,30-973,Ulica 100
155,,Miejscowosc 155,97,61,58-424,Ulica 8
156,Miasto 156,,46,,47-478,Ulica 97
157,,Miejscowosc 157,91,78,21-490,Ulica 39
158,Miasto 158,,60,,51-826,Ulica 2
159,,Miejscowosc 159,80,25,30-284,Ulica 51
160,Miasto 160,,60,,90-846,Ulica 18
161,,Miejscowosc 161,19,7,85-769,Ulica 63
162,Miasto 162,,49,,58-662,Ulica 74
163,,Miejscowosc 163,33,7,65-854,Ulica 39
164,Miasto 164,,82,,79-818,Ulica 84
165,,Miejscowosc 165,65,93,78-933,
166,Miasto 166,,21,,77-048,Ulica 17
167,,Miejscowosc 167,40,75,60-815,Ulica 83
168,Miasto 168,,21,,23-875,Ulica 4
169,,Miejscowosc 169,36,95,67-459,Ulica 8
170,Miasto 170,,51,,55-620,Ulica 32
171,,Miejscowosc 171,71,38,57-698,Ulica 68
172,Miasto 172,,66,,01-691,Ulica 91
173,,Miejscowosc 173,14,81,21-945,Ulica 88
174,Miasto 174,,90,,38-842,Ulica 91
175,,Miejscowosc 175,47,63,73-684,Ulica 22
176,Miasto 176,,85,,76-401,Ulica 4
177,,Miejscowosc 177,58,30,04-297,Ulica 26
178,Miasto 178,,26,,99-564,Ulica 66
179,,Miejscowosc 179,79,27,92-719,Ulica 48
180,Miasto 180,,2,,05-701,Ulica 72
181,,Miejscowosc 181,20,26,07-379,Ulica 18
182,Miasto 182,,41,,22-986,Ulica 66
183,,Miejscowosc 183,43,6,84-405,Ulica 23
184,Miasto 184,,98,,98-152,Ulica 76
185,,Miejscowosc 185,55,11,93-719,Ulica 36
186,Miasto 186,,81,,57-712,Ulica 13
187,,Miejscowosc 187,25,66,84-008,Ulica 99
188,Miasto 188,,41,,20-848,Ulica 88
189,,Miejscowosc 189,43,2,40-151,Ulica 32
190,Miasto 190,,17,,19-001,Ulica 1
191,,Miejscowosc 191,43,57,18-119,Ulica 19
192,Miasto 192,,28,,91-660,Ulica 68
193,,Miejscowosc 193,71,86,86-430,Ulica 60
194,Miasto 194,,38,,26-998,Ulica 23
195,,Miejscowosc 195,39,15,71-621,Ulica 21
196,Miasto 196,,42,,42-300,Ulica 5
197,,Miejscowosc 197,5,13,58-766,Ulica 4
198,Miasto 198,,92,,48-217,Ulica 31
199,,Miejscowosc 199,92,43,24-016,Ulica 32
200,Miasto 200,,65,,08-973,Ulica 3
201,,Miejscowosc 201,27,54,71-061,
202,Miasto 202,,96,,09-642,Ulica 52
203,,Miejscowosc 203,16,56,19-771,
204,Miasto 204,,25,,80-706,Ulica 34
205,,Miejscowosc 205,19,30,71-578,Ulica 17
206,Miasto 206,,23,,70-462,Ulica 62
207,,Miejscowosc 207,11,48,44-453,Ulica 10
208,Miasto 208,,52,,63-370,Ulica 24
209,,Miejscowosc 209,65,99,05-710,Ulica 33
210,Miasto 210,,90,,50-034,Ulica 78
211,,Miejscowosc 211,49,85,08-272,Ulica 98
212,Miasto 212,,86,,42-556,Ulica 63
213,,Miejscowosc 213,95,91,36-281,Ulica 41
214,Miasto 214,,96,,51-016,Ulica 64
215,,Miejscowosc 215,44,27,72-708,Ulica 77
216,Miasto 216,,16,,70-141,Ulica 74
217,,Miejscowosc 217,57,14,03-359,Ulica 94
218,Miasto 218,,44,,16-614,Ulica 62
219,,Miejscowosc 219,49,58,95-458,Ulica 13
220,Miasto 220,,7,,40-132,Ulica 44
221,,Miejscowosc 221,30,48,80-026,Ulica 48
222,Miasto 222,,46,,38-759,Ulica 19
223,,Miejscowosc 223,94,35,43-231,Ulica 27
224,Miasto 224,,26,,77-319,Ulica 46
225,,Miejscowosc 225,4,78,96-842,Ulica 43
226,Miasto 226,,24,,63-845,Ulica 93
227,,Miejscowosc 227,84,69,15-715,Ulica 39
228,Miasto 228,,43,,70-453,Ulica 93
229,,Miejscowosc 229,48,54,15-476,Ulica 36
230,Miasto 230,,3,,53-476,Ulica 55
231,,Miejscowosc 231,1,88,25-967,Ulica 70
232,Miasto 232,,80,,33-212,Ulica 24
233,,Miejscowosc 233,18,83,17-359,Ulica 39
234,Miasto 234,,39,,95-624,Ulica 81
235,,Miejscowosc 235,100,20,40-927,Ulica 38
236,Miasto 236,,16,,07-375,Ulica 38
237,,Miejscowosc 237,94,84,30-893,Ulica 60
238,Miasto 238,,19,,22-268,Ulica 32
239,,Miejscowosc 239,95,14,71-443,Ulica 28
240,Miasto 240,,36,,93-816,Ulica 11
241,,Miejscowosc 241,68,87,44-417,Ulica 7
242,Miasto 242,,78,,95-491,Ulica 14
243,,Miejscowosc 243,37,48,30-532,
244,Miasto 244,,83,,54-579,Ulica 35
245,,Miejscowosc 245,55,59,36-923,Ulica 40
246,Miasto 246,,56,,50-472,Ulica 79
247,,Miejscowosc 247,15,11,45-294,
248,Miasto 248,,67,,49-974,Ulica 71
249,,Miejscowosc 249,25,62,91-469,Ulica 2
250,Miasto 250,,74,,70-684,Ulica 85
251,,Miejscowosc 251,58,90,16-900,Ulica 51
252,Miasto 252,,29,,06-889,Ulica 20
253,,Miejscowosc 253,83,92,80-183,Ulica 19
254,Miasto 254,,71,,83-756,Ulica 73
255,,Miejscowosc 255,84,6,02-785,Ulica 16
256,Miasto 256,,80,,32-724,Ulica 52
257,,Miejscowosc 257,29,52,90-445,Ulica 47
258,Miasto 258,,59,,28-674,Ulica 77
259,,Miejscowosc 259,37,75,46-684,Ulica 45
260,Miasto 260,,52,,31-961,Ulica 100
261,,Miejscowosc 261,6,90,89-271,Ulica 99
262,Miasto 262,,21,,93-206,Ulica 80
263,,Miejscowosc 263,50,38,95-116,Ulica 2
264,Miasto 264,,62,,11-228,Ulica 91
265,,Miejscowosc 265,96,11,47-251,Ulica 1
266,Miasto 266,,62,,82-835,Ulica 49
267,,Miejscowosc 267,4,30,52-208,Ulica 94
268,Miasto 268,,15,,42-027,Ulica 3
269,,Miejscowosc 269,57,97,04-779,Ulica 36
270,Miasto 270,,72,,94-053,Ulica 59
271,,Miejscowosc 271,87,51,52-039,Ulica 100
272,Miasto 272,,42,,20-672,Ulica 47
273,,Miejscowosc 273,22,84,74-686,Ulica 42
274,Miasto 274,,52,,58-613,Ulica 14
275,,Miejscowosc 275,14,70,82-674,Ulica 3
276,Miasto 276,,5,,94-072,Ulica 70
277,,Miejscowosc 277,25,95,95-972,Ulica 41
278,Miasto 278,,9,,64-877,Ulica 10
279,,Miejscowosc 279,44,4,55-436,Ulica 97
280,Miasto 280,,68,,86-092,Ulica 14
281,,Miejscowosc 281,24,37,76-912,Ulica 27
282,Miasto 282,,64,,96-870,Ulica 4
283,,Miejscowosc 283,77,44,68-403,Ulica 47
284,Miasto 284,,13,,54-962,Ulica 96
285,,Miejscowosc 285,4,65,20-632,Ulica 67
286,Miasto 286,,23,,06-007,Ulica 71
287,,Miejscowosc 287,100,100,08-566,Ulica 74
288,Miasto 288,,45,,88-585,Ulica 6
289,,Miejscowosc 289,27,32,32-629,Ulica 48
290,Miasto 290,,59,,30-807,Ulica 67
291,,Miejscowosc 291,3,94,60-456,Ulica 20
292,Miasto 292,,4,,50-489,Ulica 47
293,,Miejscowosc 293,1,72,10-019,Ulica 81
294,Miasto 294,,70,,49-268,Ulica 15
295,,Miejscowosc 295,39,28,19-001,Ulica 35
296,Miasto 296,,15,,87-466,Ulica 62
297,,Miejscowosc 297,16,8,69-454,Ulica 86
298,Miasto 298,,100,,14-512,Ulica 17
299,,Miejscowosc 299,40,5,14-503,Ulica 21
300,Miasto 300,,41,,20-161,Ulica 28
301,,Miejscowosc 301,30,43,32-584,Ulica 8
302,Miasto 302,,29,,40-951,Ulica 59
303,,Miejscowosc 303,5,46,82-687,Ulica 68
304,Miasto 304,,20,,86-083,Ulica 28
305,,Miejscowosc 305,50,49,79-143,Ulica 13
306,Miasto 306,,58,,83-176,Ulica 1
307,,Miejscowosc 307,13,99,51-219,Ulica 94
308,Miasto 308,,98,,68-478,Ulica 25
309,,Miejscowosc 309,92,35,85-287,Ulica 62
310,Miasto 310,,61,,35-379,Ulica 44
311,,Miejscowosc 311,12,49,18-881,Ulica 30
312,Miasto 312,,47,,45-026,Ulica 77
313,,Miejscowosc 313,15,1,26-651,Ulica 2
314,Miasto 314,,32,,54-581,Ulica 76
315,,Miejscowosc 315,83,29,03-778,Ulica 11
316,Miasto 316,,77,,37-007,Ulica 94
317,,Miejscowosc 317,2,75,93-932,Ulica 46
318,Miasto 318,,24,,13-918,Ulica 33
319,,Miejscowosc 319,100,93,63-064,Ulica 39
320,Miasto 320,,19,,68-851,Ulica 15
321,,Miejscowosc 321,46,32,76-505,Ulica 36
322,Miasto 322,,88,,50-905,Ulica 66
323,,Miejscowosc 323,57,57,35-536,Ulica 77
324,Miasto 324,,2,,89-379,Ulica 23
325,,Miejscowosc 325,81,41,80-551,Ulica 45
326,Miasto 326,,76,,52-280,Ulica 20
327,,Miejscowosc 327,38,38,12-580,Ulica 60
328,Miasto 328,,41,,36-238,Ulica 85
329,,Miejscowosc 329,8,95,32-850,Ulica 1
330,Miasto 330,,11,,56-850,Ulica 10
331,,Miejscowosc 331,2,87,73-243,Ulica 39
332,Miasto 332,,67,,38-747,Ulica 61
333,,Miejscowosc 333,63,21,90-650,Ulica 55
334,Miasto 334,,41,,64-898,Ulica 84
335,,Miejscowosc 335,82,20,64-310,Ulica 13
336,Miasto 336,,37,,62-517,Ulica 12
337,,Miejscowosc 337,6,37,70-460,Ulica 75
338,Miasto 338,,43,,12-343,Ulica 41
339,,Miejscowosc 339,54,34,44-107,Ulica 60
340,Miasto 340,,45,,09-607,Ulica 19
341,,Miejscowosc 341,26,25,39-366,Ulica 85
342,Miasto 342,,66,,33-635,Ulica 5
343,,Miejscowosc 343,53,46,91-303,Ulica 30
344,Miasto 344,,96,,76-079,Ulica 47
345,,Miejscowosc 345,67,10,77-280,Ulica 88
346,Miasto 346,,14,,07-398,Ulica 12
347,,Miejscowosc 347,98,85,22-438,Ulica 52
348,Miasto 348,,13,,60-333,Ulica 6
349,,Miejscowosc 349,63,92,46-320,Ulica 54
350,Miasto 350,,34,,51-033,Ulica 24
351,,Miejscowosc 351,85,15,85-110,Ulica 28
352,Miasto 352,,100,,04-609,Ulica 79
353,,Miejscowosc 353,2,81,85-369,Ulica 83
354,Miasto 354,,63,,12-807,Ulica 41
355,,Miejscowosc 355,9,83,08-390,Ulica 24
356,Miasto 356,,3,,59-931,Ulica 20
357,,Miejscowosc 357,64,95,35-446,Ulica 92
358,Miasto 358,,71,,16-131,Ulica 16
359,,Miejscowosc 359,79,72,82-719,Ulica 90
360,Miasto 360,,35,,14-248,Ulica 49
361,,Miejscowosc 361,82,39,04-844,Ulica 20
362,Miasto 362,,91,,17-656,Ulica 17
363,,Miejscowosc 363,86,90,40-130,Ulica 1
364,Miasto 364,,9,,30-954,Ulica 42
365,,Miejscowosc 365,70,40,73-158,Ulica 100
366,Miasto 366,,77,,59-885,Ulica 82
367,,Miejscowosc 367,55,96,51-038,Ulica 38
368,Miasto 368,,25,,72-426,Ulica 97
369,,Miejscowosc 369,20,16,41-660,Ulica 2
370,Miasto 370,,13,,88-487,Ulica 59
371,,Miejscowosc 371,72,79,63-556,Ulica 92
372,Miasto 372,,63,,77-278,Ulica 89
373,,Miejscowosc 373,63,53,26-141,Ulica 28
374,Miasto 374,,1,,79-402,Ulica 53
375,,Miejscowosc 375,2,68,19-033,Ulica 19
376,Miasto 376,,17,,01-682,Ulica 52
377,,Miejscowosc 377,56,29,06-637,Ulica 42
378,Miasto 378,,48,,29-169,Ulica 39
379,,Miejscowosc 379,53,15,28-499,Ulica 19
380,Miasto 380,,26,,14-092,Ulica 14
381,,Miejscowosc 381,83,17,66-542,Ulica 39
382,Miasto 382,,4,,59-221,Ulica 97
383,,Miejscowosc 383,12,83,29-065,Ulica 3
384,Miasto 384,,17,,16-201,Ulica 52
385,,Miejscowosc 385,72,95,11-986,Ulica 90
386,Miasto 386,,73,,53-847,Ulica 52
387,,Miejscowosc 387,70,28,77-319,Ulica 71
388,Miasto 388,,30,,58-610,Ulica 68
389,,Miejscowosc 389,11,49,70-816,Ulica 34
390,Miasto 390,,97,,18-864,Ulica 97
391,,Miejscowosc 391,99,97,15-737,Ulica 7
392,Miasto 392,,73,,58-577,Ulica 35
393,,Miejscowosc 393,74,68,43-934,Ulica 27
394,Miasto 394,,97,,60-248,Ulica 51
395,,Miejscowosc 395,89,23,95-230,Ulica 63
396,Miasto 396,,29,,75-841,Ulica 86
397,,Miejscowosc 397,74,49,13-642,Ulica 90
398,Miasto 398,,3,,03-287,Ulica 30
399,,Miejscowosc 399,56,66,55-381,Ulica 62
400,Miasto 400,,33,,51-365,Ulica 5
401,,Miejscowosc 401,88,35,20-478,Ulica 48
402,Miasto 402,,36,,09-128,Ulica 85
403,,Miejscowosc 403,96,4,39-279,Ulica 20
404,Miasto 404,,37,,99-723,Ulica 68
405,,Miejscowosc 405,60,60,68-130,Ulica 19
406,Miasto 406,,66,,53-041,Ulica 74
407,,Miejscowosc 407,68,65,28-299,Ulica 96
408,Miasto 408,,38,,30-694,Ulica 62
409,,Miejscowosc 409,69,45,17-905,Ulica 89
410,Miasto 410,,19,,92-916,Ulica 78
411,,Miejscowosc 411,74,79,60-100,Ulica 82
412,Miasto 412,,97,,09-970,Ulica 95
413,,Miejscowosc 413,96,66,73-150,Ulica 47
414,Miasto 414,,49,,51-389,Ulica 29
415,,Miejscowosc 415,78,5,22-112,Ulica 80
416,Miasto 416,,99,,63-317,Ulica 75
417,,Miejscowosc 417,53,37,77-694,Ulica 59
418,Miasto 418,,91,,02-753,Ulica 6
419,,Miejscowosc 419,96,14,42-565,Ulica 58
420,Miasto 420,,11,,22-339,Ulica 48
421,,Miejscowosc 421,71,73,39-609,Ulica 34
422,Miasto 422,,64,,86-187,Ulica 79
423,,Miejscowosc 423,84,36,95-505,Ulica 48
424,Miasto 424,,44,,20-184,Ulica 27
425,,Miejscowosc 425,37,47,71-614,Ulica 88
426,Miasto 426,,18,,90-371,Ulica 4
427,,Miejscowosc 427,93,14,23-473,Ulica 20
428,Miasto 428,,91,,52-051,Ulica 29
429,,Miejscowosc 429,73,54,65-899,Ulica 28
430,Miasto 430,,55,,46-366,Ulica 22
431,,Miejscowosc 431,63,94,77-926,Ulica 71
432,Miasto 432,,59,,86-686,Ulica 89
433,,Miejscowosc 433,48,8,49-675,Ulica 13
434,Miasto 434,,82,,12-828,Ulica 14
435,,Miejscowosc 435,53,14,65-375,Ulica 86
436,Miasto 436,,48,,97-690,Ulica 30
437,,Miejscowosc 437,50,20,44-133,Ulica 31
438,Miasto 438,,63,,78-224,Ulica 85
439,,Miejscowosc 439,18,21,76-338,Ulica 51
440,Miasto 440,,81,,16-896,Ulica 17
441,,Miejscowosc 441,21,36,30-518,Ulica 6
442,Miasto 442,,4,,59-530,Ulica 20
443,,Miejscowosc 443,90,25,35-290,Ulica 41
444,Miasto 444,,7,,15-301,Ulica 5
445,,Miejscowosc 445,41,17,10-205,Ulica 35
446,Miasto 446,,31,,11-174,Ulica 13
447,,Miejscowosc 447,29,11,98-362,Ulica 45
448,Miasto 448,,63,,74-301,Ulica 32
449,,Miejscowosc 449,90,46,70-898,Ulica 42
450,Miasto 450,,50,,74-748,Ulica 61
451,,Miejscowosc 451,64,52,29-812,Ulica 56
452,Miasto 452,,97,,48-213,Ulica 69
453,,Miejscowosc 453,60,79,35-503,
454,Miasto 454,,27,,16-457,Ulica 18
455,,Miejscowosc 455,71,82,86-395,Ulica 35
456,Miasto 456,,45,,35-153,Ulica 45
457,,Miejscowosc 457,64,8,82-285,Ulica 4
458,Miasto 458,,72,,86-966,Ulica 72
459,,Miejscowosc 459,54,39,43-253,Ulica 49
460,Miasto 460,,23,,68-260,Ulica 1
461,,Miejscowosc 461,39,97,93-919,Ulica 96
462,Miasto 462,,63,,27-088,Ulica 24
463,,Miejscowosc 463,66,76,77-311,Ulica 27
464,Miasto 464,,55,,45-836,Ulica 22
465,,Miejscowosc 465,83,64,10-295,Ulica 51
466,Miasto 466,,65,,70-836,Ulica 76
467,,Miejscowosc 467,4,18,81-117,Ulica 33
468,Miasto 468,,53,,24-342,Ulica 97
469,,Miejscowosc 469,99,74,81-781,Ulica 34
470,Miasto 470,,82,,49-828,Ulica 98
471,,Miejscowosc 471,87,16,37-371,Ulica 6
472,Miasto 472,,14,,56-643,Ulica 22
473,,Miejscowosc 473,82,90,65-513,Ulica 40
474,Miasto 474,,94,,23-603,Ulica 34
475,,Miejscowosc 475,16,83,94-417,Ulica 72
476,Miasto 476,,41,,89-990,Ulica 89
477,,Miejscowosc 477,54,23,28-524,Ulica 100
478,Miasto 478,,44,,55-975,Ulica 18
479,,Miejscowosc 479,54,100,28-670,Ulica 26
480,Miasto 480,,66,,17-517,Ulica 29
481,,Miejscowosc 481,57,44,66-136,Ulica 61
482,Miasto 482,,81,,36-050,Ulica 42
483,,Miejscowosc 483,81,60,32-064,Ulica 19
484,Miasto 484,,86,,82-523,Ulica 42
485,,Miejscowosc 485,20,75,65-093,
486,Miasto 486,,73,,93-370,Ulica 85
487,,Miejscowosc 487,41,2,84-989,Ulica 100
488,Miasto 488,,16,,15-937,Ulica 9
489,,Miejscowosc 489,84,9,42-179,Ulica 98
490,Miasto 490,,24,,64-321,Ulica 56
491,,Miejscowosc 491,70,18,13-390,Ulica 31
492,Miasto 492,,90,,49-487,Ulica 59
493,,Miejscowosc 493,19,99,89-387,Ulica 67
494,Miasto 494,,32,,59-022,Ulica 99
495,,Miejscowosc 495,25,80,10-183,Ulica 33
496,Miasto 496,,47,,93-344,Ulica 96
497,,Miejscowosc 497,5,7,57-784,Ulica 10
498,Miasto 498,,54,,65-439,Ulica 91
499,,Miejscowosc 499,5,40,77-215,Ulica 15
500,Miasto 500,,59,,82-240,Ulica 13
501,,Miejscowosc 501,18,68,52-825,Ulica 89
502,Miasto 502,,15,,76-296,Ulica 25
503,,Miejscowosc 503,91,68,33-076,Ulica 54
504,Miasto 504,,96,,12-090,Ulica 35
505,,Miejscowosc 505,33,95,85-317,Ulica 11
506,Miasto 506,,1,,83-423,Ulica 44
507,,Miejscowosc 507,53,75,69-936,Ulica 94
508,Miasto 508,,34,,29-307,Ulica 2
509,,Miejscowosc 509,89,22,85-024,Ulica 24
510,Miasto 510,,19,,67-326,Ulica 92
511,,Miejscowosc 511,90,69,57-103,Ulica 38
512,Miasto 512,,95,,96-878,Ulica 98
513,,Miejscowosc 513,96,15,98-667,Ulica 71
514,Miasto 514,,69,,89-131,Ulica 69
515,,Miejscowosc 515,38,8,02-542,Ulica 17
516,Miasto 516,,12,,35-636,Ulica 53
517,,Miejscowosc 517,10,73,29-751,Ulica 50
518,Miasto 518,,34,,51-207,Ulica 64
519,,Miejscowosc 519,85,18,69-166,Ulica 47
520,Miasto 520,,1,,41-466,Ulica 77
521,,Miejscowosc 521,7,73,72-429,Ulica 69
522,Miasto 522,,90,,51-552,Ulica 64
523,,Miejscowosc 523,76,17,30-455,Ulica 20
524,Miasto 524,,79,,18-919,Ulica 15
525,,Miejscowosc 525,76,49,68-523,
526,Miasto 526,,89,,08-783,Ulica 12
527,,Miejscowosc 527,68,22,66-289,Ulica 45
528,Miasto 528,,69,,63-395,Ulica 89
529,,Miejscowosc 529,14,52,88-515,Ulica 63
530,Miasto 530,,11,,06-306,Ulica 81
531,,Miejscowosc 531,96,96,30-274,Ulica 98
532,Miasto 532,,99,,07-701,Ulica 20
533,,Miejscowosc 533,84,47,03-794,Ulica 11
534,Miasto 534,,49,,02-991,Ulica 81
535,,Miejscowosc 535,45,35,10-174,Ulica 11
536,Miasto 536,,38,,02-324,Ulica 88
537,,Miejscowosc 537,79,69,65-521,Ulica 52
538,Miasto 538,,48,,99-256,Ulica 91
539,,Miejscowosc 539,23,82,86-307,Ulica 45
540,Miasto 540,,80,,64-591,Ulica 7
541,,Miejscowosc 541,55,5,25-460,Ulica 5
